id,created_at,text
1536731950844715011,2022-06-14 15:27:02+00:00,"From Pompano to Doak Campbell to the NFL to leading Volunteer Florida, Corey Simon has been a leader and would make a great addition to the Florida Senate. I’m proud to endorse my friend @csime90 for Senate District 3."
1536111891025649664,2022-06-12 22:23:09+00:00,"Just wrapped speaking at the Jewish Leadership Conference discussing the Florida Blueprint.

They tried to cancel me. But here I stand.

Great to see so many future residents of Florida! https://t.co/hwK1ACqEfR"
1535347556657647618,2022-06-10 19:45:57+00:00,"A huge number of society’s problems are rooted in kids growing up without a father in the home.

This is my call to action: every child deserves a loving father!

https://t.co/whGJ9aD9Ba"
1534182031512444934,2022-06-07 14:34:34+00:00,".@JayTrumbull has been a strong ally for my agenda in the Legislature and a great champion for the people of NW Florida. @SenatorGainer leaves big shoes to fill, but I believe Jay will be a great Senator and I am happy to support him for Senate District 2."
1534182029482508292,2022-06-07 14:34:34+00:00,"Thanks to @SenatorGainer for years of outstanding service to the people of NW Florida. From business to politics, George Gainer has made big contributions to our state. Fair Winds and Following Seas!"
1533955785901985792,2022-06-06 23:35:33+00:00,"The Soros-funded radical Left is running a scheme to manipulate local media in Florida to push their Marxist agenda on voters.

In Florida, we reject the professional Left &amp; their attempt to infiltrate our state &amp; will always stand for truth and freedom.

https://t.co/OeLbSDpJVh"
1533814838547423235,2022-06-06 14:15:29+00:00,Great to be at @GulfCoastJam in Panama City Beach for another great event. Enjoyed seeing all the great patriots in attendance! https://t.co/FEEuC2JT50
1532088418460655617,2022-06-01 19:55:18+00:00,"The Biden admin attempting to fight a federal judge's decision and impose miserable forced masking on planes makes it clear:

They're not trying to ""follow the science.""
They don't care about your right to make your own decisions.
They want unchecked control over your life."
1531756364367896576,2022-05-31 21:55:50+00:00,"This Memorial Day Weekend, I was proud to be a part of the @HeroesHonorFest and pay tribute to those who made the ultimate sacrifice to keep this country free.

We will always be grateful for their service and always honor their memory. https://t.co/3j87tyuq4P"
1526314436289511428,2022-05-16 21:31:33+00:00,.@Hawkins4Florida works hard for central Florida in the legislature. I’m proud to work with him in Tallahassee to get things done for Florida. I’m excited to fight alongside him this November.
1526269311580610561,2022-05-16 18:32:15+00:00,Senator Manny Diaz will do a great job heading up the Florida Department of Education. He leaves big shoes to fill in the FL Senate. I believe @BryanAvilaFL will be an effective Senator and advocate for Miami-Dade and he has my support.
1526232160872677376,2022-05-16 16:04:37+00:00,.@leek_tj is a fighter for Volusia County and for Florida. He will stand with me to protect your freedoms. I’m proud to stand with him this November.
1526194807655256064,2022-05-16 13:36:12+00:00,".@Paul_Renner has been a strong supporter of our agenda in the House. I’m pleased to endorse his re-election, and I look forward to working with Paul during his term as Speaker of the House."
1524768089291767808,2022-05-12 15:06:55+00:00,Thank you Pinellas County GOP for the warm welcome home at this year’s Lincoln Day Dinner. We need everyone’s support to win big in November and #KeepFloridaFree. https://t.co/ATvprDLv06
1524386146373021697,2022-05-11 13:49:13+00:00,Biden’s disastrous policies are hurting families. We were energy independent prior to Biden taking office. https://t.co/ZdifuFfR3v
1522339931175419904,2022-05-05 22:18:17+00:00,"I was honored to be in Leon County for their Lincoln Day Dinner celebrating historic wins for the GOP in Florida. A registered voter surplus of over 130,000 is just the beginning. Let's keep this momentum going and keep Florida free this November. https://t.co/2xJ3poH03Z"
1520196634663170056,2022-04-30 00:21:36+00:00,Nevadans want a United States Senator who’s going to stand up and fight back on their behalf. @AdamLaxalt is the man for the job. https://t.co/JsjohqwEJP
1518720418722557952,2022-04-25 22:35:38+00:00,Great to be in Doral last week with @BenShapiro and members of Florida's Jewish community as they celebrated Passover. https://t.co/lnsFTtu0Kv
1518660605728727040,2022-04-25 18:37:58+00:00,https://t.co/wIQJIv6aJn
1518635861868433408,2022-04-25 16:59:39+00:00,"From Holmes to Miami-Dade County, I enjoyed celebrating Republican leadership with our dedicated county GOP leaders at their annual Lincoln Day Dinners last week. https://t.co/D7d2jYBkLR"
1516765732872335362,2022-04-20 13:08:25+00:00,"It’s fitting that the Free State of Florida was home to the ruling that unmasked millions of Americans on airplanes and other forms of transport.

Biden needs to drop any appeal attempts and acknowledge the misery he imposed on so many of our airline employees and passengers. https://t.co/ZbRui7A939"
1514966845610246144,2022-04-15 14:00:17+00:00,"Had a great time visiting Cinottis in Jacksonville Beach.  

Make sure to stop in if you’re in Duval County!

https://t.co/VgTxudwr8R https://t.co/Zp6wrskUgx"
1513185199735164941,2022-04-10 16:00:39+00:00,"Congrats to @danawhite and @ufc for another great event in Jacksonville for #UFC273
 
Three years in a row! https://t.co/tNGEsT2NHA"
1511116491072196617,2022-04-04 23:00:21+00:00,"One year ago today, “60 Minutes” ran a smear campaign against me to mislead the public.

I know the corporate media thinks they can just run manufactured propaganda to advance their partisan agenda, but I will always punch back, set the record straight &amp; fight for what’s right."
1509890131842543616,2022-04-01 13:47:14+00:00,"Thanks to Johnny &amp; Donnie Van Zant. I have a feeling this might be the song of the summer...

https://t.co/FzrPTkCfs9 https://t.co/k6rk48tzq8"
1509661377396367361,2022-03-31 22:38:15+00:00,Fighting for freedom in Florida alongside @GamebredFighter in Miami. https://t.co/3U4WRf8F9s
1504614239067164674,2022-03-18 00:22:43+00:00,"Cheers to freedom.
 
Happy St. Patrick’s Day from the freest state in the nation. ☘️ https://t.co/kOq79gqhVw"
1504197712027258885,2022-03-16 20:47:35+00:00,I was able to speak with @RalphMassullo earlier today and he informed me that he intends to run for re-election to the Florida House. Ralph is a smart conservative member and I endorse his re-election.
1503345222830407683,2022-03-14 12:20:06+00:00,"Blaise Ingoglia (@GovGoneWild) is a strong conservative who fights to keep FL free and to deliver for his constituents.

I endorse Blaise for Senate District 11 — he will be a force in the FL Senate and will serve the people of Pasco, Citrus, Hernando and Sumter counties well."
1502314226005725189,2022-03-11 16:03:17+00:00,"The media can’t defend injecting sexual topics like transgenderism into classrooms for kindergarteners, so they concoct false narratives to try to divert attention from this fact in the hopes that people will not read the bill. https://t.co/8xtyA5C6oj"
1502081397481160704,2022-03-11 00:38:07+00:00,"There is zero chance that I will be cowed by woke corporations and false media narratives.
https://t.co/daTRiJ0bUr"
1499414578026975249,2022-03-03 16:01:07+00:00,"The political science show cannot go on.

It’s curtain call for COVID theater. https://t.co/CoUIC6NX83"
